csv_date,hour,sky_condition
01/11/2013,14,1
01/11/2013,15,1
01/11/2013,16,1
01/11/2013,17,2
01/11/2013,18,2
01/11/2013,19,1
01/11/2013,20,3
01/11/2013,21,3
01/11/2013,22,4
01/11/2013,23,4
01/12/2013,00,1
01/12/2013,01,3
01/12/2013,02,4
01/12/2013,03,4
01/12/2013,04,4
01/12/2013,05,4
01/12/2013,06,4
01/12/2013,07,4
01/12/2013,08,4
01/12/2013,09,4
01/12/2013,10,3
01/12/2013,11,4
01/12/2013,12,3
01/12/2013,13,1
01/12/2013,14,1
01/12/2013,15,1
01/12/2013,16,1
01/12/2013,17,1
01/12/2013,18,2
01/12/2013,19,2
01/12/2013,20,2
01/12/2013,21,4
01/12/2013,22,3
01/12/2013,23,4
01/13/2013,00,4
01/13/2013,01,4
01/13/2013,02,4
01/13/2013,03,4
01/13/2013,04,4
01/13/2013,05,4
01/13/2013,06,4
01/13/2013,07,3
01/13/2013,08,3
01/13/2013,09,3
01/13/2013,10,3
01/13/2013,11,3
01/13/2013,12,1
01/13/2013,13,1
01/13/2013,14,3
01/13/2013,15,3
01/13/2013,16,3
01/13/2013,17,1
01/13/2013,18,3
01/13/2013,19,1
01/13/2013,20,3
01/13/2013,21,2
01/13/2013,22,4
01/13/2013,23,4
01/14/2013,00,4
01/14/2013,01,4
01/14/2013,02,4
01/14/2013,03,4
01/14/2013,04,4
01/14/2013,05,4
01/14/2013,06,4
01/14/2013,07,4
01/14/2013,08,4
01/14/2013,09,4
01/14/2013,10,4
01/14/2013,11,4
01/14/2013,12,4
01/14/2013,13,4
01/14/2013,14,4
01/14/2013,15,4
01/14/2013,16,4
01/14/2013,17,4
01/14/2013,18,4
01/14/2013,19,4
01/14/2013,20,4
01/14/2013,21,4
01/14/2013,22,4
01/14/2013,23,4
01/15/2013,00,4
01/15/2013,01,4
01/15/2013,02,4
01/15/2013,03,4
01/15/2013,04,4
01/15/2013,05,4
01/15/2013,06,4
01/15/2013,07,4
01/15/2013,08,4
01/15/2013,09,4
01/15/2013,10,4
01/15/2013,11,4
01/15/2013,12,4
01/15/2013,13,4
01/15/2013,14,4
01/15/2013,15,4
